shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shp_3_0_1,38.663702,-9.188661,90,1889.500693515325111
shp_3_0_1,38.663683,-9.188404,91,1911.905578576253447
shp_3_0_1,38.663672,-9.188153,92,1933.747652076835720
shp_3_0_1,38.663666,-9.187836,93,1961.262414233959817
shp_3_0_1,38.663681,-9.187539,94,1987.119653839885814
shp_3_0_1,38.663711,-9.187315,95,2006.856065724605514
shp_3_0_1,38.663767,-9.187111,96,2025.639068177338913
shp_3_0_1,38.663821,-9.186952,97,2040.707534008694893
shp_3_0_1,38.663960,-9.186630,98,2072.638632619367399
shp_3_0_1,38.664155,-9.186234,99,2113.266720023362723
shp_3_0_1,38.664198,-9.186137,100,2122.956335509045402
shp_3_0_1,38.664223,-9.186066,101,2129.692921896157713
shp_3_0_1,38.664243,-9.185992,102,2136.573950245109245
shp_3_0_1,38.664258,-9.185900,103,2144.687578586531345
shp_3_0_1,38.664260,-9.185867,104,2147.538519055603047
shp_3_0_1,38.664260,-9.185855,105,2148.607371526099996
shp_3_0_1,38.664261,-9.185812,106,2152.345028649410779
shp_3_0_1,38.664257,-9.185743,107,2158.347107672365382
shp_3_0_1,38.664245,-9.185667,108,2165.051986621546348
shp_3_0_1,38.664231,-9.185609,109,2170.308729831550863
shp_3_0_1,38.664164,-9.185297,110,2198.457664939515780
shp_3_0_1,38.664090,-9.184967,111,2228.215807525080436
shp_3_0_1,38.664076,-9.184880,112,2235.981483798815134
shp_3_0_1,38.664066,-9.184799,113,2243.050475968013870
shp_3_0_1,38.664068,-9.184718,114,2250.103376372528601
shp_3_0_1,38.664086,-9.184627,115,2258.298530093086356
shp_3_0_1,38.664134,-9.184534,116,2267.960122357221280
shp_3_0_1,38.664237,-9.184344,117,2288.105986842763286
shp_3_0_1,38.664426,-9.184026,118,2322.770034835371916
shp_3_0_1,38.664504,-9.183903,119,2336.519643764042485
shp_3_0_1,38.664560,-9.183795,120,2347.782064166091004
shp_3_0_1,38.664629,-9.183648,121,2362.697777779972512
shp_3_0_1,38.664768,-9.183331,122,2394.182177700159173
shp_3_0_1,38.665088,-9.182583,123,2468.296974198866337
shp_3_0_1,38.665279,-9.182148,124,2511.574623608027650
shp_3_0_1,38.665394,-9.181870,125,2538.958844679336380
shp_3_0_1,38.665869,-9.180770,126,2648.102612203391800
shp_3_0_1,38.665995,-9.180483,127,2676.648897618325918
shp_3_0_1,38.666061,-9.180326,128,2692.143446294013302
shp_3_0_1,38.666216,-9.179967,129,2727.734095687289937
shp_3_0_1,38.666359,-9.179634,130,2760.757854505744945
shp_3_0_1,38.666455,-9.179405,131,2783.347673382540506
shp_3_0_1,38.666533,-9.179222,132,2801.358382640770287
shp_3_0_1,38.667059,-9.177991,133,2923.228324732879173
shp_3_0_1,38.667267,-9.177513,134,2970.725004384938529
shp_3_0_1,38.667421,-9.177150,135,3006.619814118876093
shp_3_0_1,38.667552,-9.176892,136,3033.376678599241131
shp_3_0_1,38.667636,-9.176762,137,3048.027279432305477
shp_3_0_1,38.667809,-9.176560,138,3073.971604275579466
shp_3_0_1,38.667949,-9.176423,139,3093.575159808531225
shp_3_0_1,38.668059,-9.176298,140,3109.983273720645229
shp_3_0_1,38.668100,-9.176230,141,3117.435416479923333
shp_3_0_1,38.668131,-9.176166,142,3123.937713561812870
shp_3_0_1,38.668145,-9.176112,143,3128.952880824829663
shp_3_0_1,38.668147,-9.176046,144,3134.668043725665484
shp_3_0_1,38.668139,-9.175973,145,3141.043240207988219
shp_3_0_1,38.668121,-9.175872,146,3150.077852879726834
shp_3_0_1,38.668092,-9.175749,147,3161.209744688621413
shp_3_0_1,38.668071,-9.175652,148,3169.943530839669165
shp_3_0_1,38.668045,-9.175535,149,3180.461636655888469
shp_3_0_1,38.668031,-9.175444,150,3188.580432317352916
shp_3_0_1,38.668031,-9.175340,151,3197.548797608405039
shp_3_0_1,38.668032,-9.175295,152,3201.520398681978804
shp_3_0_1,38.668036,-9.175242,153,3206.091465634502583
shp_3_0_1,38.668042,-9.175192,154,3210.456526642458812
shp_3_0_1,38.668049,-9.175150,155,3214.263775051284938
shp_3_0_1,38.668060,-9.175090,156,3219.561010269458620
shp_3_0_1,38.668197,-9.174389,157,3282.301523837740206
shp_3_0_1,38.668885,-9.170477,158,3630.502003595482165
shp_3_0_1,38.668894,-9.170429,159,3634.700020465384114
shp_3_0_1,38.668936,-9.170144,160,3659.930946446280814
shp_3_0_1,38.669001,-9.169816,161,3689.315534887757167
shp_3_0_1,38.669022,-9.169722,162,3697.761320654378324
shp_3_0_1,38.669044,-9.169648,163,3704.632203972273146
shp_3_0_1,38.669067,-9.169586,164,3710.661411480236438
shp_3_0_1,38.669100,-9.169519,165,3717.477084126941008
shp_3_0_1,38.669127,-9.169459,166,3723.553136814688514
shp_3_0_1,38.669261,-9.169246,167,3747.231955256530910
shp_3_0_1,38.669397,-9.169018,168,3772.169071900574636
shp_3_0_1,38.669615,-9.168653,169,3812.031554703875827
shp_3_0_1,38.669718,-9.168489,170,3830.304995345429688
shp_3_0_1,38.669911,-9.168219,171,3862.078236843580271
shp_3_0_1,38.670246,-9.167794,172,3914.536908045721248
shp_3_0_1,38.670281,-9.167754,173,3919.752107095491283
shp_3_0_1,38.670308,-9.167729,174,3923.423645862991179
shp_3_0_1,38.670361,-9.167684,175,3930.475449080730414
shp_3_0_1,38.670429,-9.167647,176,3938.769319602678479
shp_3_0_1,38.670513,-9.167619,177,3948.392952324352336
shp_3_0_1,38.670904,-9.167554,178,3992.187435148026452
shp_3_0_1,38.671009,-9.167531,179,4004.028932021467881
shp_3_0_1,38.671098,-9.167502,180,4014.287994624729436
shp_3_0_1,38.671175,-9.167467,181,4023.347666137275610
shp_3_0_1,38.671226,-9.167417,182,4030.478644505215470
shp_3_0_1,38.671869,-9.166855,183,4117.073846190000950
shp_3_0_1,38.672028,-9.166714,184,4138.617401000858990
shp_3_0_1,38.672157,-9.166599,185,4156.009348945688544
shp_3_0_1,38.672191,-9.166580,186,4160.161524112193547
shp_3_0_1,38.672243,-9.166560,187,4166.214996268397954
shp_3_0_1,38.672318,-9.166534,188,4174.851686249890918
shp_3_0_1,38.672372,-9.166539,189,4180.844821651774510
shp_3_0_1,38.672631,-9.166603,190,4210.251294599430366
shp_3_0_1,38.672758,-9.166608,191,4224.314429558307893
shp_3_0_1,38.672880,-9.166607,192,4237.880724022108552
shp_3_0_1,38.673021,-9.166594,193,4253.674978810799075
shp_3_0_1,38.673186,-9.166585,194,4271.995510774191644
shp_3_0_1,38.673327,-9.166567,195,4287.754325203251938
shp_3_0_1,38.673458,-9.166543,196,4302.464225914171038
shp_3_0_1,38.673556,-9.166520,197,4313.483500710980479
