shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shp_3_0_0,38.663639,-9.207174,0,0
shp_3_0_0,38.663641,-9.206854,1,27.768084227533926
shp_3_0_0,38.663642,-9.206834,2,29.522221071472426
shp_3_0_0,38.663646,-9.206515,3,57.232531551100678
shp_3_0_0,38.663648,-9.206361,4,70.587009455676920
shp_3_0_0,38.663655,-9.205505,5,144.904577598556273
shp_3_0_0,38.663662,-9.205163,6,174.625415872629674
shp_3_0_0,38.663664,-9.205111,7,179.197736128616498
shp_3_0_0,38.663667,-9.205064,8,183.227275178113587
shp_3_0_0,38.663670,-9.205019,9,187.154836002642924
shp_3_0_0,38.663674,-9.204978,10,190.762320988461880
shp_3_0_0,38.663676,-9.204962,11,192.207332984448897
shp_3_0_0,38.663679,-9.204935,12,194.551097919786116
shp_3_0_0,38.663681,-9.204918,13,196.033474350141063
shp_3_0_0,38.663683,-9.204904,14,197.227661080663296
shp_3_0_0,38.663687,-9.204869,15,200.326407488483852
shp_3_0_0,38.663689,-9.204857,16,201.381518223526996
shp_3_0_0,38.663698,-9.204797,17,206.758743063443262
shp_3_0_0,38.663703,-9.204773,18,208.894227178411256
shp_3_0_0,38.663709,-9.204735,19,212.223356777631949
shp_3_0_0,38.663713,-9.204717,20,213.850681078165792
shp_3_0_0,38.663719,-9.204686,21,216.645979211851767
shp_3_0_0,38.663800,-9.204297,22,251.558678143109489
shp_3_0_0,38.663807,-9.204267,23,254.337689285263650
shp_3_0_0,38.663819,-9.204211,24,259.340700810864519
shp_3_0_0,38.663851,-9.204066,25,272.403625572505575
shp_3_0_0,38.663860,-9.204026,26,276.056595186397942
shp_3_0_0,38.664149,-9.202691,27,396.285313831258463
shp_3_0_0,38.664163,-9.202617,28,402.920907580185371
shp_3_0_0,38.664182,-9.202522,29,411.424160004272665
shp_3_0_0,38.664243,-9.202196,30,440.539868641815076
shp_3_0_0,38.664412,-9.201155,31,532.893746907420223
shp_3_0_0,38.664475,-9.200757,32,568.120477464713758
shp_3_0_0,38.664492,-9.200652,33,577.429186501885965
shp_3_0_0,38.664550,-9.200291,34,609.484423093921691
shp_3_0_0,38.664613,-9.199953,35,639.593474704793834
shp_3_0_0,38.664702,-9.199407,36,688.009925971755820
shp_3_0_0,38.664773,-9.198940,37,729.345362835563606
shp_3_0_0,38.664863,-9.198379,38,779.038628862338555
shp_3_0_0,38.664896,-9.198158,39,798.580364327772372
shp_3_0_0,38.664917,-9.197998,40,812.661388071441252
shp_3_0_0,38.664936,-9.197827,41,827.707604179634131
shp_3_0_0,38.664946,-9.197663,42,841.958782784676941
shp_3_0_0,38.664951,-9.197505,43,855.730514034710041
shp_3_0_0,38.664955,-9.197382,44,866.434531260534754
shp_3_0_0,38.664957,-9.197333,45,870.668067417666180
shp_3_0_0,38.664972,-9.196921,46,906.421400290359998
shp_3_0_0,38.664977,-9.196778,47,918.857576907638531
shp_3_0_0,38.664988,-9.196589,48,935.322073629794886
shp_3_0_0,38.665020,-9.196419,49,950.543340376201400
shp_3_0_0,38.665072,-9.196220,50,968.735826941335176
shp_3_0_0,38.665133,-9.196048,51,985.092141833252072
shp_3_0_0,38.665215,-9.195880,52,1002.349811231561830
shp_3_0_0,38.665303,-9.195693,53,1021.243528010858199
shp_3_0_0,38.665363,-9.195571,54,1033.828190742035531
shp_3_0_0,38.665412,-9.195457,55,1045.056431907625438
shp_3_0_0,38.665459,-9.195271,56,1062.135196663734632
shp_3_0_0,38.665489,-9.195102,57,1077.156967638836704
shp_3_0_0,38.665502,-9.194889,58,1095.696070293210369
shp_3_0_0,38.665531,-9.194339,59,1143.526738546881234
shp_3_0_0,38.665550,-9.193994,60,1173.594869113738014
shp_3_0_0,38.665575,-9.193530,61,1213.957909825293882
shp_3_0_0,38.665575,-9.193452,62,1220.712596515205405
shp_3_0_0,38.665564,-9.193388,63,1226.424568653019605
shp_3_0_0,38.665550,-9.193326,64,1232.022038772082396
shp_3_0_0,38.665524,-9.193264,65,1238.067536606605699
shp_3_0_0,38.665499,-9.193213,66,1243.294379265382304
shp_3_0_0,38.665447,-9.193149,67,1251.361764751686906
shp_3_0_0,38.665372,-9.193093,68,1261.066759123493739
shp_3_0_0,38.664391,-9.192454,69,1383.344213867839017
shp_3_0_0,38.664287,-9.192379,70,1396.687924988305213
shp_3_0_0,38.664213,-9.192315,71,1406.572104865245137
shp_3_0_0,38.664153,-9.192237,72,1416.115051037170360
shp_3_0_0,38.664117,-9.192170,73,1423.158532197542627
shp_3_0_0,38.664086,-9.192092,74,1430.762435314536106
shp_3_0_0,38.664058,-9.191929,75,1445.287462232504367
shp_3_0_0,38.664058,-9.191794,76,1456.930562079814081
shp_3_0_0,38.664075,-9.191577,77,1475.889546510664786
shp_3_0_0,38.664086,-9.191408,78,1490.600449447330902
shp_3_0_0,38.664079,-9.191255,79,1503.894248040547836
shp_3_0_0,38.664075,-9.191156,80,1512.528513325333734
shp_3_0_0,38.664067,-9.191091,81,1518.274283104120286
shp_3_0_0,38.664015,-9.190692,82,1553.415762611652553
shp_3_0_0,38.663967,-9.190349,83,1583.588794279580952
shp_3_0_0,38.663922,-9.190011,84,1613.419492186621937
shp_3_0_0,38.663755,-9.188789,85,1721.073985540614103
shp_3_0_0,38.663741,-9.188655,86,1732.829703022525791
shp_3_0_0,38.663722,-9.188400,87,1755.052087683460513
shp_3_0_0,38.663711,-9.188151,88,1776.746111228927475
shp_3_0_0,38.663705,-9.187837,89,1804.000459545729427
shp_3_0_0,38.663720,-9.187545,90,1829.440385309511385
shp_3_0_0,38.663749,-9.187328,91,1848.577920302001075
shp_3_0_0,38.663803,-9.187129,92,1866.846892557196497
shp_3_0_0,38.663856,-9.186974,93,1881.555201149445566
shp_3_0_0,38.663994,-9.186654,94,1913.242478922106329
shp_3_0_0,38.664184,-9.186249,95,1954.300291430982270
shp_3_0_0,38.664220,-9.186167,96,1962.476694882718220
