shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shp_1_0_1,38.637075,-9.151051,0,0
shp_1_0_1,38.637296,-9.151365,1,36.732297448731813
shp_1_0_1,38.637336,-9.151421,2,43.267585364864935
shp_1_0_1,38.637387,-9.151470,3,50.374243187276434
shp_1_0_1,38.637454,-9.151496,4,58.179456485032347
shp_1_0_1,38.637498,-9.151504,5,63.122380288059588
shp_1_0_1,38.637546,-9.151510,6,68.501727539725067
shp_1_0_1,38.638053,-9.151376,7,126.068244716788399
shp_1_0_1,38.638102,-9.151368,8,131.484829395685779
shp_1_0_1,38.638139,-9.151368,9,135.665746209198943
shp_1_0_1,38.638190,-9.151377,10,141.330466594416094
shp_1_0_1,38.638225,-9.151397,11,145.643185582965202
shp_1_0_1,38.638259,-9.151421,12,149.916028759081314
shp_1_0_1,38.638311,-9.151472,13,157.235260722020115
shp_1_0_1,38.638441,-9.151609,14,175.938471754787571
shp_1_0_1,38.638493,-9.151668,15,183.697926113137498
shp_1_0_1,38.638567,-9.151724,16,193.202871418637585
shp_1_0_1,38.638653,-9.151775,17,203.731698817081508
shp_1_0_1,38.639120,-9.151944,18,257.752863064889368
shp_1_0_1,38.639203,-9.151966,19,267.174307557579255
shp_1_0_1,38.639264,-9.151985,20,274.157130476980001
shp_1_0_1,38.639319,-9.151990,21,280.235360573089906
shp_1_0_1,38.639407,-9.151990,22,290.020478876272932
shp_1_0_1,38.639497,-9.151974,23,300.136308031644262
shp_1_0_1,38.639568,-9.151952,24,308.270662425153887
shp_1_0_1,38.639643,-9.151901,25,317.723429124465724
shp_1_0_1,38.639716,-9.151849,26,327.022885977591727
shp_1_0_1,38.639754,-9.151818,27,332.062078059055182
shp_1_0_1,38.639772,-9.151803,28,334.455802163838939
shp_1_0_1,38.639801,-9.151778,29,338.264326976621987
shp_1_0_1,38.640513,-9.150847,30,451.440269643791737
shp_1_0_1,38.640574,-9.150794,31,459.639531362735227
shp_1_0_1,38.640645,-9.150767,32,467.902363297509908
shp_1_0_1,38.640716,-9.150748,33,475.986105641851964
shp_1_0_1,38.640775,-9.150743,34,482.530043036950644
shp_1_0_1,38.640821,-9.150745,35,487.661512626981960
shp_1_0_1,38.640867,-9.150756,36,492.860259455528478
shp_1_0_1,38.640923,-9.150780,37,499.495551950041943
shp_1_0_1,38.640993,-9.150815,38,507.755432237033233
shp_1_0_1,38.641276,-9.151002,39,543.219099516503888
shp_1_0_1,38.642222,-9.151628,40,661.644934678796403
shp_1_0_1,38.642487,-9.151802,41,694.750912243322659
shp_1_0_1,38.642714,-9.151952,42,723.149774608866664
shp_1_0_1,38.642853,-9.152038,43,740.303478690226257
shp_1_0_1,38.643132,-9.152215,44,774.890618651872501
shp_1_0_1,38.643305,-9.152304,45,795.699040234080371
shp_1_0_1,38.643549,-9.152406,46,824.131842439370075
shp_1_0_1,38.643720,-9.152462,47,843.850911028434439
shp_1_0_1,38.643861,-9.152500,48,859.789733097177077
shp_1_0_1,38.646875,-9.153197,49,1200.426115126597097
shp_1_0_1,38.646993,-9.153221,50,1213.636180417375499
shp_1_0_1,38.647106,-9.153237,51,1226.289794957718868
shp_1_0_1,38.647236,-9.153248,52,1240.763981510075155
shp_1_0_1,38.647338,-9.153253,53,1252.182135559087328
shp_1_0_1,38.647447,-9.153259,54,1264.311196552283945
shp_1_0_1,38.647564,-9.153256,55,1277.356276459655646
shp_1_0_1,38.647694,-9.153248,56,1291.763923464309300
shp_1_0_1,38.647891,-9.153223,57,1313.757971094395543
shp_1_0_1,38.648253,-9.153179,58,1354.182197491761144
shp_1_0_1,38.648530,-9.153147,59,1385.153368524481266
shp_1_0_1,38.648849,-9.153110,60,1420.760383042961621
shp_1_0_1,38.648986,-9.153097,61,1436.077647226009731
shp_1_0_1,38.649232,-9.153079,62,1463.422824363541849
shp_1_0_1,38.649451,-9.153071,63,1487.841067620548756
shp_1_0_1,38.649675,-9.153069,64,1512.748932104348114
shp_1_0_1,38.649835,-9.153073,65,1530.476699808081548
shp_1_0_1,38.649917,-9.153080,66,1539.646494245702115
shp_1_0_1,38.650031,-9.153089,67,1552.371231664376410
shp_1_0_1,38.650260,-9.153111,68,1577.869288203661199
shp_1_0_1,38.650417,-9.153130,69,1595.414147454526528
shp_1_0_1,38.650616,-9.153164,70,1617.748573941817767
shp_1_0_1,38.650798,-9.153199,71,1638.243441420309409
shp_1_0_1,38.650962,-9.153239,72,1656.791581554857203
shp_1_0_1,38.653483,-9.153845,73,1941.968924977760253
shp_1_0_1,38.654058,-9.153984,74,2007.004283460925762
shp_1_0_1,38.654219,-9.154017,75,2025.215624943332841
shp_1_0_1,38.654688,-9.154127,76,2078.230584976297905
shp_1_0_1,38.655297,-9.154271,77,2147.096243358873380
shp_1_0_1,38.655560,-9.154334,78,2176.788621743050044
shp_1_0_1,38.655836,-9.154397,79,2208.032766868181170
shp_1_0_1,38.656111,-9.154460,80,2239.043593956639597
shp_1_0_1,38.656404,-9.154525,81,2272.108186691438277
shp_1_0_1,38.656519,-9.154554,82,2285.173214352053947
shp_1_0_1,38.656628,-9.154586,83,2297.599004099700778
shp_1_0_1,38.656724,-9.154621,84,2308.738364078334143
shp_1_0_1,38.656846,-9.154672,85,2322.955857780288170
shp_1_0_1,38.656942,-9.154720,86,2334.455912133661968
shp_1_0_1,38.657051,-9.154785,87,2347.790258743752474
shp_1_0_1,38.657128,-9.154834,88,2357.356753957004912
shp_1_0_1,38.657335,-9.154984,89,2383.739444919544894
shp_1_0_1,38.657541,-9.155136,90,2410.243479134021527
shp_1_0_1,38.657954,-9.155440,91,2463.193611614610290
shp_1_0_1,38.658565,-9.155889,92,2541.525648387688307
shp_1_0_1,38.660271,-9.157147,93,2760.412421821236421
shp_1_0_1,38.660521,-9.157333,94,2792.567241699021451
shp_1_0_1,38.660741,-9.157495,95,2820.779529344150433
shp_1_0_1,38.660875,-9.157601,96,2838.350660405148574
shp_1_0_1,38.661030,-9.157714,97,2858.157156793200102
shp_1_0_1,38.662495,-9.158787,98,3045.752841770559371
shp_1_0_1,38.663542,-9.159559,99,3180.132087696426879
shp_1_0_1,38.663793,-9.159736,100,3211.966826923036479
shp_1_0_1,38.663851,-9.159773,101,3219.260935225028334
shp_1_0_1,38.663977,-9.159851,102,3234.830012901629743
shp_1_0_1,38.664065,-9.159897,103,3245.331569365133419
shp_1_0_1,38.664151,-9.159940,104,3255.573411553334154
shp_1_0_1,38.664254,-9.159983,105,3267.638304952192357
shp_1_0_1,38.664359,-9.160028,106,3279.935211072044240
shp_1_0_1,38.664442,-9.160060,107,3289.611108475726269
shp_1_0_1,38.664534,-9.160087,108,3300.113237414208470
shp_1_0_1,38.664604,-9.160106,109,3308.084461909995753
shp_1_0_1,38.664704,-9.160127,110,3319.296607999903699
shp_1_0_1,38.664771,-9.160143,111,3326.887629547390134
shp_1_0_1,38.664844,-9.160157,112,3335.120858833761758
shp_1_0_1,38.664915,-9.160168,113,3343.092293665481975
shp_1_0_1,38.664978,-9.160178,114,3350.136833128351100
shp_1_0_1,38.665041,-9.160184,115,3357.182363641399206
shp_1_0_1,38.666206,-9.160273,116,3486.896783611310184
shp_1_0_1,38.666278,-9.160279,117,3494.901136387566112
shp_1_0_1,38.666347,-9.160296,118,3502.751573807453951
shp_1_0_1,38.666399,-9.160320,119,3508.881352327259719
shp_1_0_1,38.666436,-9.160345,120,3513.568905766672287
shp_1_0_1,38.666470,-9.160369,121,3517.845596450355060
shp_1_0_1,38.666509,-9.160409,122,3523.481841351744151
shp_1_0_1,38.666545,-9.160463,123,3529.597949302562029
shp_1_0_1,38.666574,-9.160511,124,3534.908307667924419
shp_1_0_1,38.666604,-9.160581,125,3541.788648098973226
shp_1_0_1,38.666636,-9.160663,126,3549.763128969901572
shp_1_0_1,38.666824,-9.161189,127,3599.960527213041587
shp_1_0_1,38.666962,-9.161577,128,3637.000856742313772
shp_1_0_1,38.667041,-9.161816,129,3659.569253647714049
shp_1_0_1,38.667114,-9.162087,130,3684.435672551236166
shp_1_0_1,38.667161,-9.162310,131,3704.481843826235036
shp_1_0_1,38.667202,-9.162555,132,3726.208792913892012
shp_1_0_1,38.667226,-9.162725,133,3741.259808256639189
shp_1_0_1,38.667247,-9.162939,134,3759.958143724512865
shp_1_0_1,38.667283,-9.163259,135,3788.056982492564202
shp_1_0_1,38.667306,-9.163422,136,3802.411653213488080
shp_1_0_1,38.667334,-9.163552,137,3814.127108104150921
shp_1_0_1,38.667349,-9.163615,138,3819.785677847870829
shp_1_0_1,38.667361,-9.163669,139,3824.663148070121224
shp_1_0_1,38.667398,-9.163810,140,3837.624668812129130
shp_1_0_1,38.667464,-9.164046,141,3859.395622718230243
shp_1_0_1,38.667585,-9.164469,142,3898.469444580960044
shp_1_0_1,38.667685,-9.164815,143,3930.533897379636528
shp_1_0_1,38.667775,-9.165127,144,3959.439759353614591
shp_1_0_1,38.667887,-9.165516,145,3995.395125534881572
shp_1_0_1,38.667923,-9.165610,146,4004.457674313757707
shp_1_0_1,38.667977,-9.165688,147,4013.532238479605894
shp_1_0_1,38.668052,-9.165765,148,4024.232781091185643
shp_1_0_1,38.668095,-9.165799,149,4029.834265782030343
shp_1_0_1,38.668155,-9.165836,150,4037.265305629670365
shp_1_0_1,38.668208,-9.165845,151,4043.211439200878431
shp_1_0_1,38.668283,-9.165852,152,4051.576432197374288
shp_1_0_1,38.668341,-9.165857,153,4058.050274111541057
shp_1_0_1,38.668418,-9.165839,154,4066.755309125916483
shp_1_0_1,38.668540,-9.165828,155,4080.357189387723793
shp_1_0_1,38.668739,-9.165796,156,4102.625607716538980
shp_1_0_1,38.668926,-9.165766,157,4123.537480720147869
shp_1_0_1,38.669074,-9.165742,158,4140.201790334872385
shp_1_0_1,38.669156,-9.165747,159,4149.298593704959785
shp_1_0_1,38.669225,-9.165760,160,4157.069678765528806
shp_1_0_1,38.669493,-9.165832,161,4187.536985311793615
shp_1_0_1,38.670773,-9.166173,162,4332.838241434476913
shp_1_0_1,38.671129,-9.166265,163,4373.316039965412529
shp_1_0_1,38.672046,-9.166508,164,4477.406978820617041
shp_1_0_1,38.672243,-9.166560,165,4499.765290821096642
shp_1_0_1,38.672322,-9.166581,166,4508.758728510573746
shp_1_0_1,38.672623,-9.166657,167,4542.811238635135851
shp_1_0_1,38.672754,-9.166676,168,4557.446854632957184
shp_1_0_1,38.672873,-9.166686,169,4570.764151787971059
shp_1_0_1,38.673023,-9.166686,170,4587.476819006857113
shp_1_0_1,38.673191,-9.166678,171,4606.172120570268817
shp_1_0_1,38.673336,-9.166659,172,4622.311486318867537
shp_1_0_1,38.673470,-9.166635,173,4637.368774586681866
