id,name,lat,lon,stops
TRAIN_057,Amadora,38.759920,-9.235962,030095|030097|030101|030103|030119|030121|030169|030171|030173|030249|030317|030319|030322|030343|030344|030345|030346|030469|030475|030477|030479|030601|030685|030687|030821|030842|030843|030845|030863|030869|030880
TRAIN_058,Oriente,38.767939,-9.099037,060001|060002|060009|060011|060205|060207|060209|060253|060321|060322|060323|060325|060327|060361
TRAIN_059,Cacém,38.766397,-9.298418,170455|170457|170459|170460|170491|170647|170649|170653|170689|170691|170692|172486|172487|172488|172489|172490|172498|172500|172526|172532|172535|172551|172552|172555|172556|172600|172621
TRAIN_060,Moscavide,38.778052,-9.099589,060203|060211|060221|060223|070575|070577|070579|070581|070585|070587|070609|070611|071311|071397|071501|071502
TRAIN_061,Rio de Mouro,38.784650,-9.322256,170067|170068|170069|170070|170071|170073|170075|170077|170165|170166|170167|170168|170169|170171|170172|170181|170183|170506|170509|170510|170669|170671|170672|172492|172493|172572|172573|172576|172601
TRAIN_062,Mira Sintra-Meleças,38.789660,-9.312456,171197|172574|172575
TRAIN_063,Mercês,38.793205,-9.330795,170261|170263|170266|170267|170269|170271|170273|170275
TRAIN_064,Sacavém,38.795366,-9.099601,070757
TRAIN_065,Algueirão - Mem Martins,38.797603,-9.341436,170093|170095|170097|170099|170197|170199|170317|170319|170389|170390|171125|171177|171179|171180|171181|171182|171183|171184|171185|171186|171187|171188|171871|171872|171873|172628
TRAIN_066,Sintra,38.799457,-9.385184,171384|171879|171880|171907|171909|171911|171913|171917|171923|171953
TRAIN_067,Portela de Sintra,38.802232,-9.376669,170307|170391|170818|170819|170820|170821|171311|171313|171314|171381|171382|171383|171384|171875|171877|171878|171919|171921|172481|172482|172483|172485|172533|172534
TRAIN_068,Bobadela,38.807258,-9.094374,070751|070753|070754|071279|071637|071638|071639|071641|072407
TRAIN_069,Telhal,38.809208,-9.302575,170363|170364|170365|170366|170367
TRAIN_070,Sabugo,38.830844,-9.299903,171115|171116|171117|171118
TRAIN_071,Santa Iria,38.840565,-9.080525,070707|070709|070710|071241|071242|071625|071626|071627|071628
TRAIN_072,Póvoa,38.859169,-9.064475,180503|180504|180529|180569|180570|180583|180584|180635|180637|180638|180669|180703|180729|180730|180753
TRAIN_073,Pedra Furada,38.877408,-9.293877,171229|171230|171231|171232
TRAIN_074,Alverca,38.890519,-9.033428,180041|180043|180101|180102|182200|182255|182257|182258
TRAIN_075,Mafra,38.897410,-9.291730,081047|081048|081049|081050|081051|081052
TRAIN_076,Alhandra,38.924120,-9.011294,180065|180067|180068|180091|180228|180230
TRAIN_077,Malveira,38.928760,-9.257734,080281|080282|080283|080316|080319|080320|080405|080406|082202
TRAIN_078,Vila Franca de Xira,38.955753,-8.986016,180077
TRAIN_079,Castanheira do Ribatejo,38.989069,-8.965328,
TRAIN_080,Carregado,39.005572,-8.953785,180331|180332|180333|180334|180335|180336|180426
