stop_id,stop_name,stop_lat,stop_lon,routes
160786,V NOGUEIRA AZEITÃO (EN10) X R ESC C+S,38.525700,-9.018010,3605_0|3626_0|3635_0|3635_1|3641_0|4632_0|4641_0|4730_0|4730_1|4730_2
160787,VN AZEITÃO (EN10) X R DR F G OLIVEIRA,38.522400,-9.016160,3605_0|3626_0|3635_0|3635_1|3640_0|3641_0|4562_3|4632_0|4640_0|4641_0|4730_0|4730_1|4730_2
160788,VN AZEITÃO (EN10) X R DR F G OLIVEIRA,38.522400,-9.016100,3605_0|3626_0|3635_0|3635_1|3641_0|4632_0|4641_0|4730_0|4730_1|4730_2
160789,VN AZEITÃO (R JOSÉ A COELHO) PASMADOS,38.518600,-9.014920,3635_0|3635_1|3640_0|3641_0|4460_0|4640_0|4642_0
160791,BREJOS AZEITÃO (R JOSÉ AFONSO 4),38.545700,-9.025370,4460_0|4560_0
160792,BREJOS AZEITÃO (R JOSÉ AFONSO 4),38.545700,-9.025330,4460_0|4560_0|4560_1
160793,BREJOS AZEITÃO (EN10 KM22800 447C),38.543400,-9.028330,3605_0|3626_0|3635_0|3635_1|3641_0|4460_0|4560_0|4632_0|4641_0|4730_0|4730_1|4730_2
160803,BREJOS AZEITÃO (EN10 KM24 500) P COMB,38.530900,-9.020990,3605_0|3626_0|3635_0|3635_1|3641_0|4632_0|4641_0|4730_0|4730_1|4730_2
160805,BREJOS AZEITÃO (EN10KM234),38.539900,-9.026230,3605_0|3625_0|3626_0|3635_0|3635_1|3641_0|4460_0|4560_0|4560_1|4632_0|4641_0|4730_0|4730_1|4730_2
160807,BRJ AZEITÃO (EN10 KM22 800) PARQUE,38.544300,-9.028800,3605_0|3625_0|3626_0|3635_0|3635_1|3641_0|4460_0|4560_0|4560_1|4632_0|4641_0|4730_0|4730_1|4730_2
160819,PRAIA DA FIGUEIRINHA,38.484700,-8.945320,4472_1
160831,SETÚBAL (AV ANTERO QUENTAL-ESTR C COMERC),38.537090,-8.878810,4562_2|4562_3
160841,SETÚBAL (N252 X ESTR DE MIRAVENTOS),38.550990,-8.885970,4512_0|4512_1|4517_0|4547_0|4549_0|4562_0|4562_2|4562_3
160843,EN 10 (ESTAÇÃO CP ÁGUAS MOURA),38.573970,-8.747790,4540_0|4540_1|4544_0|4544_2|4901_0|4901_1|4906_0
160845,EN 10 (PARAGEM CHAPARRAL),38.571370,-8.752320,4540_0|4540_1|4544_0|4544_2|4901_0|4901_1|4906_0
160847,EN 10 JUNTO A X R PRIMEIRO DE MAIO,38.568450,-8.763900,4540_0|4540_1|4544_0|4544_2|4901_0|4901_1|4906_0
160849,EN 10 () X GÂMBIA C- Bº BONITA,38.555100,-8.802700,4540_0|4540_1|4544_0|4544_2|4545_0|4546_0|4548_0|4901_0|4901_1|4906_0
160851,EN 10 ( SUBESTAÇÃO EDP),38.535100,-8.864360,4419_0|4540_0|4540_1|4544_0|4544_1|4546_0|4548_0|4901_0|4901_1|4906_0|4906_1
160853,EN 10 ( SUBESTAÇÃO EDP),38.535520,-8.861860,4419_0|4540_0|4540_1|4544_0|4544_2|4546_0|4548_0|4901_0|4901_1|4906_0
160857,GÂMBIA (ESTR PRINCIPAL 45),38.561400,-8.772960,4540_1|4544_1|4544_2|4545_0|4546_0
160858,GÂMBIA (ESTR PRINCIPAL 45),38.561300,-8.772930,4540_1|4544_1|4544_2|4545_0|4546_0
160859,ESTR ALGERUZ X ESTR CASA GAIATO,38.558400,-8.838170,4541_0|4542_0|4543_0
160861,ESTR ALGERUZ (PADEIRAS) X,38.555500,-8.840920,4541_0|4542_0|4543_0
